trajectory_id,experiment_id,x_m,y_m,z_m,ground_z_m,vx_mps,vy_mps,vz_mps,block_id,mass_kg,radius_m,source
v004,tschamut2014,33.400000,236.670000,76.276667,76.100000,0.743140,1.354700,0.769540,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v005,tschamut2014,34.445000,238.380000,77.298333,77.100000,0.243580,0.287100,0.158990,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v006,tschamut2014,37.142000,241.620000,78.276667,78.100000,-0.057787,-0.144860,-0.087951,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v007,tschamut2014,33.465000,237.720000,77.160000,77.000000,-0.272220,-0.281690,-0.169210,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v011,tschamut2014,28.729000,233.860000,75.776667,75.600000,0.466630,0.586490,0.006983,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v014,tschamut2014,30.182000,234.730000,75.560000,75.400000,0.048978,0.085119,0.037495,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v015,tschamut2014,29.956000,235.050000,75.876667,75.700000,-0.397760,-0.420800,0.070231,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v017,tschamut2014,29.842000,235.010000,75.860000,75.700000,0.420740,0.492640,0.356060,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v018,tschamut2014,30.448000,236.160000,76.876667,76.700000,0.103850,-0.024415,-0.048015,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v019,tschamut2014,29.316000,235.100000,76.298333,76.100000,0.358560,0.157470,0.021477,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v020,tschamut2014,30.602000,235.280000,75.860000,75.700000,-1.267100,-0.228990,0.270140,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v021,tschamut2014,30.240000,234.710000,75.598333,75.400000,0.889010,0.206360,-0.138380,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v022,tschamut2014,29.490000,234.430000,75.598333,75.400000,0.087192,-0.059900,-0.063637,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v023,tschamut2014,29.832000,235.820000,76.876667,76.700000,0.154690,0.097537,0.031465,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v024,tschamut2014,29.594000,233.960000,75.298333,75.100000,-0.099291,0.010351,0.037245,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v025,tschamut2014,29.251000,234.720000,76.076667,75.900000,-0.105470,0.333170,0.262970,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v026,tschamut2014,29.096000,235.010000,76.460000,76.300000,0.996530,0.510030,-0.084769,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v027,tschamut2014,29.778000,234.760000,75.798333,75.600000,-0.109390,-0.288790,-0.169870,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v028,tschamut2014,29.046000,234.440000,75.760000,75.600000,-0.122340,-0.086975,0.110930,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v029,tschamut2014,20.697000,230.570000,78.976667,78.800000,0.105900,-0.180220,-0.247100,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v030,tschamut2014,21.315000,230.300000,78.276667,78.100000,-0.010810,0.148120,0.164770,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v031,tschamut2014,24.604000,231.650000,77.560000,77.400000,-0.547720,-0.120430,0.062452,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v032,tschamut2014,59.474000,257.590000,76.698333,76.500000,-0.138320,0.163780,0.071156,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v033,tschamut2014,59.212000,257.110000,76.676667,76.500000,0.304070,-0.040098,-0.117430,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v034,tschamut2014,59.212000,257.110000,76.676667,76.500000,0.304070,-0.040098,-0.117430,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v035,tschamut2014,20.756000,229.590000,77.798333,77.600000,-0.975630,0.100670,0.507040,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v036,tschamut2014,18.592000,229.320000,78.576667,78.400000,-0.178180,0.003707,0.174170,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v037,tschamut2014,17.643000,229.300000,79.560000,79.400000,-0.143840,-0.146600,0.005258,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v038,tschamut2014,13.739000,228.110000,80.198333,80.000000,0.256130,0.016480,-0.138630,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v039,tschamut2014,13.791000,227.170000,79.776667,79.600000,-0.047893,0.330760,0.179280,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v040,tschamut2014,14.138000,227.910000,79.860000,79.700000,0.118710,0.274030,0.081200,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v041,tschamut2014,13.729000,227.640000,79.998333,79.800000,0.002898,0.012348,0.004146,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v042,tschamut2014,13.465000,228.010000,80.476667,80.300000,0.125510,-0.423610,-0.367280,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v043,tschamut2014,14.723000,227.660000,79.260000,79.100000,0.390040,0.018834,-0.287810,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v044,tschamut2014,13.240000,227.920000,80.198333,80.000000,0.421370,-0.915110,-0.509780,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v045,tschamut2014,14.213000,227.530000,79.676667,79.500000,1.041400,0.325410,-0.525730,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v046,tschamut2014,13.857000,227.670000,79.960000,79.800000,0.032619,-0.356050,-0.196080,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v047,tschamut2014,13.611000,227.970000,80.276667,80.100000,-0.066719,0.190970,0.072841,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v048,tschamut2014,13.864000,228.230000,80.260000,80.100000,-0.043655,-0.318660,-0.168310,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v049,tschamut2014,14.329000,227.780000,79.698333,79.500000,-0.028127,-0.007385,0.022309,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v050,tschamut2014,14.122000,227.760000,79.776667,79.600000,-0.004522,-0.075566,-0.063579,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v051,tschamut2014,13.499000,227.450000,80.098333,79.900000,0.700070,0.142420,-0.464720,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v052,tschamut2014,14.790000,227.390000,79.060000,78.900000,-0.989960,-0.121490,0.711460,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v053,tschamut2014,14.393000,228.250000,79.976667,79.800000,-0.698980,-0.415190,0.226730,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v055,tschamut2014,13.937000,227.430000,79.760000,79.600000,0.100290,0.084140,-0.043127,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v057,tschamut2014,14.584000,227.940000,79.576667,79.400000,0.176290,-0.250280,-0.352720,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v058,tschamut2014,14.483000,227.860000,79.698333,79.500000,0.561310,0.434340,0.005043,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v063,tschamut2014,16.816000,227.790000,78.376667,78.200000,-0.031693,0.124160,0.110310,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v064,tschamut2014,14.157000,227.480000,79.598333,79.400000,0.084766,-0.199480,-0.191470,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v065,tschamut2014,14.162000,227.470000,79.560000,79.400000,-0.136910,0.089158,0.171650,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v066,tschamut2014,13.530000,227.660000,80.160000,80.000000,0.156920,-0.086891,-0.130630,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v067,tschamut2014,19.288000,229.810000,78.676667,78.500000,-0.734630,-0.675750,-0.219090,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v068,tschamut2014,21.480000,228.750000,76.598333,76.400000,-0.913740,0.304290,0.624860,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v069,tschamut2014,18.909000,230.450000,79.476667,79.300000,-0.851560,0.106880,0.445260,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v070,tschamut2014,26.348000,232.840000,77.898333,77.700000,-1.222900,-0.489520,0.436350,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v072,tschamut2014,17.922000,228.790000,78.760000,78.600000,1.676500,0.921340,-0.219360,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v073,tschamut2014,19.171000,229.810000,78.676667,78.500000,-0.019675,-0.103390,-0.098553,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v074,tschamut2014,19.871000,230.010000,78.598333,78.400000,-0.149930,-0.061290,0.001853,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v075,tschamut2014,19.034000,229.280000,78.160000,78.000000,-0.087327,-0.053103,-0.017483,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v076,tschamut2014,33.832000,236.730000,75.898333,75.700000,0.392540,-0.704030,-0.854990,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v077,tschamut2014,36.105000,238.210000,75.976667,75.800000,-0.765520,-0.125990,0.418290,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v078,tschamut2014,36.177000,239.530000,76.998333,76.800000,-1.892900,-1.221300,0.240210,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v079,tschamut2014,34.797000,237.770000,76.360000,76.200000,0.911040,-0.122090,-0.688050,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v080,tschamut2014,34.794000,238.430000,77.060000,76.900000,-1.209000,-1.380400,-0.739200,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v081,tschamut2014,34.874000,237.360000,75.960000,75.800000,-0.230690,0.291060,0.434690,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v083,tschamut2014,60.109000,259.480000,76.898333,76.700000,0.056458,-0.997260,-0.192840,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v086,tschamut2014,57.965000,260.650000,76.998333,76.800000,-0.008582,0.019660,-0.000608,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v088,tschamut2014,60.066000,257.640000,76.460000,76.300000,-0.311020,-0.288640,0.036216,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v090,tschamut2014,58.055000,257.190000,76.998333,76.800000,-0.301810,-1.303400,-0.097752,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v092,tschamut2014,59.292000,256.910000,76.576667,76.400000,-0.145380,0.038282,0.069820,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v093,tschamut2014,57.782000,258.080000,77.098333,76.900000,0.622530,-0.644300,-0.193000,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v095,tschamut2014,58.416000,256.870000,76.776667,76.600000,0.185380,0.112240,-0.018576,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v097,tschamut2014,59.151000,257.160000,76.660000,76.500000,0.407020,-0.078112,-0.165930,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v099,tschamut2014,57.615000,256.590000,76.960000,76.800000,0.439490,0.536010,-0.022974,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v101,tschamut2014,58.928000,257.270000,76.776667,76.600000,0.335070,0.030300,-0.100350,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v104,tschamut2014,32.815000,236.890000,76.576667,76.400000,0.449530,0.803190,0.529560,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v105,tschamut2014,33.590000,237.180000,76.460000,76.300000,0.156210,-0.524780,-0.590280,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v107,tschamut2014,34.738000,237.620000,76.260000,76.100000,-0.244420,-0.069402,0.067095,4,40.000000,0.160000,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v109,tschamut2014,35.794000,237.180000,75.098333,74.900000,-1.447400,1.313100,2.430800,2,79.000000,0.198333,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
v111,tschamut2014,34.347000,238.050000,76.976667,76.800000,0.013020,0.069709,0.056338,1,69.000000,0.176667,EnviDat tschamut2014 all_LPS_splined first sample; z projected to IDW residual terrain plus radius
